unique_plan_id,provider_name,service_plan_name,tier_plan_name,connection_type,monthly_price,intro_rate,intro_rate_price,intro_rate_time,contract_req,contract_time,contract_terms_url,early_termination_fee,single_purchase_fee_descr,single_purchase_fees,monthly_provider_fee_descr,monthly_provider_fees,tax,bundle_discounts_url,typical_download_speed,typical_upload_speed,typical_latency,monthly_data_allow,over_usage_data_price,additional_data_increments,data_allowance_policy_url,network_management_policy_url,privacy_policy_url,customer_support_phone,customer_support_web
M0025646373251120BTGNATSEN,Spectrum,By the Gig,NULL,Mobile,20.00,No,NULL,NULL,No,NULL,NULL,0.00,Activation Fee;Declined Auto Payment,20.00;5.00,NULL,NULL,Taxes Included,https://www.spectrum.com/packages,67  - 622 ,7  - 48 ,35-58,1,5,1,https://www.spectrum.com/policies/mobile-broadband-disclosures,https://www.spectrum.com/policies/mobile-broadband-disclosures,https://www.spectrum.com/policies/privacy-policy,(833) 224-6603,https://www.spectrum.net/contact-us
M0025646373251120UNLNATSEN,Spectrum,Unlimited,NULL,Mobile,30.00,No,NULL,NULL,No,NULL,NULL,0.00,Activation Fee;Declined Auto Payment,20.00;5.00,Spectrum Mobile without Spectrum Internet,10.00,Taxes Included,https://www.spectrum.com/packages,67  - 622 ,7  - 48 ,35-58,NULL,NULL,NULL,https://www.spectrum.com/policies/mobile-broadband-disclosures,https://www.spectrum.com/policies/mobile-broadband-disclosures,https://www.spectrum.com/policies/privacy-policy,(833) 224-6603,https://www.spectrum.net/contact-us
M0025646373251120ULPNATSEN,Spectrum,Unlimited Plus,NULL,Mobile,40.00,No,NULL,NULL,No,NULL,NULL,0.00,Activation Fee;Declined Auto Payment,20.00;5.00,Spectrum Mobile without Spectrum Internet,10.00,Taxes Included,https://www.spectrum.com/packages,67  - 622 ,7  - 48 ,35-58,NULL,NULL,NULL,https://www.spectrum.com/policies/mobile-broadband-disclosures,https://www.spectrum.com/policies/mobile-broadband-disclosures,https://www.spectrum.com/policies/privacy-policy,(833) 224-6603,https://www.spectrum.net/contact-us
